0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0
0,0,0,1,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,1,0,0,0
0,0,0,1,2,1,1,2,6,2,2,2,2,2,2,6,2,2,2,1,1,2,1,0,0,0
0,0,0,1,2,1,4,2,2,2,1,2,2,2,5,2,2,1,2,2,1,2,1,0,0,0
0,0,0,1,2,8,2,1,2,2,2,2,1,2,8,2,2,2,1,2,8,2,1,0,0,0
0,0,0,1,2,1,2,2,2,2,2,1,1,1,1,2,8,2,4,2,1,2,1,0,0,0
0,0,0,1,2,8,2,5,2,4,2,2,2,1,2,2,2,2,2,2,8,2,1,0,0,0
0,0,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,0,0,0
0,0,0,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,1,0,0,0
0,0,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0
0,0,0,1,2,2,2,2,2,2,2,7,2,2,2,2,2,4,2,2,2,2,1,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
